ProviderKey,PurchasePriceExclVat_CHF,SuggestedRetailPriceInclVat_CHF,VatRatePercentage
WEL_4250231738722,34.00,,8.1
WEL_9783969281260,20.00,,8.1
WEL_9783969281277,58.00,,8.1
WEL_9783969281284,50.50,,8.1
WEL_9783969281253,20.00,,8.1
WEL_9783969281192,38.00,,8.1
WEL_9783957894397,15.00,,8.1
WEL_9783969281130,52.50,,8.1
WEL_9783969281161,21.50,,8.1
WEL_9783969281154,39.00,,8.1
WEL_7640142762652,19.50,,8.1
WEL_9783969281147,39.00,,8.1
WEL_9783969281123,39.00,,8.1
WEL_8720618684028,16.00,,8.1
WEL_4260071883810,56.00,,8.1
WEL_4260071875808,53.50,,8.1
WEL_4005556765997,26.50,,8.1
WEL_4250231739217,43.50,,8.1
WEL_4250231738661,45.50,,8.1
WEL_9783969280966,34.00,,8.1
WEL_4250231738593,21.50,,8.1
WEL_4571394090442,27.50,,8.1
WEL_3770005193041,34.00,,8.1
WEL_4260664070207,16.00,,8.1
WEL_0841333118549,78.00,,8.1
WEL_4015566603318,56.50,,8.1
WEL_0860001208474,59.00,,8.1
WEL_0196214130685,275.00,,8.1
WEL_7640111372066,5.00,,8.1
WEL_4260071882592,41.50,,8.1
WEL_0810816030456,42.50,,8.1
WEL_0725765192387,73.50,,8.1
WEL_0619264453103,53.50,,8.1
WEL_0889696018496,70.50,,8.1
WEL_0889696018618,85.00,,8.1
WEL_0889696018625,85.00,,8.1
WEL_0889696018632,51.00,,8.1
WEL_0889696019929,65.00,,8.1
WEL_889696019882,59.00,,8.1
WEL_0889696018601,184.00,,8.1
WEL_0850065813073,195.50,,8.1
WEL_8500658130668,70.50,,8.1
WEL_8500658131108,36.50,,8.1
WEL_5010996264275,59.00,,8.1
WEL_8710126001325,43.50,,8.1
WEL_5010996350305,16.00,,8.1
WEL_5010996350138,16.00,,8.1
WEL_5010996279330,36.50,,8.1
WEL_4005556247547,53.50,,8.1
WEL_5010996298508,44.00,,8.1
WEL_5011921200498,59.00,,8.1
WEL_5011921201303,59.00,,8.1
WEL_5011921191581,131.00,,8.1
WEL_0841333134143,59.00,,8.1
WEL_5010996305046,15.00,,8.1
WEL_0618149324316,42.00,,8.1
WEL_5070003169405,82.00,,8.1
WEL_5060716751059,66.50,,8.1
WEL_0850003498508,72.50,,8.1
WEL_0053334388559,127.50,,8.1
WEL_8410446531716,26.00,,8.1
WEL_5407007460076,35.00,,8.1
WEL_0850065360119,104.50,,8.1
WEL_0664231998914,14.00,,8.1
WEL_5010996309402,44.00,,8.1
WEL_5010996236968,13.50,,8.1
WEL_8594156311339,37.50,,8.1
WEL_0764451912021,24.50,,8.1
WEL_0618149324057,36.50,,8.1
WEL_3558380108818,27.00,,8.1
WEL_3558380126782,66.50,,8.1
WEL_3558380121589,82.00,,8.1
WEL_8600102607088,48.00,,8.1
WEL_5060616471491,28.50,,8.1
WEL_5907699493944,18.50,,8.1
WEL_4050368988423,65.00,,8.1
WEL_0732388260058,53.50,,8.1
WEL_3760052143526,36.50,,8.1
WEL_4270000439971,21.50,,8.1
WEL_4260664070696,27.00,,8.1
WEL_0810083041834,20.00,,8.1
WEL_0810083040929,26.00,,8.1
WEL_0810083044156,33.00,,8.1
WEL_3558380084273,12.00,,8.1
WEL_0810083042077,47.50,,8.1
WEL_0810083041261,27.00,,8.1
WEL_3558380126348,30.50,,8.1
WEL_3070900050761,11.50,,8.1
WEL_3070900050921,11.00,,8.1
WEL_4050368988829,144.50,,8.1
WEL_4050368988416,65.00,,8.1
WEL_4050368988836,144.50,,8.1
WEL_0820650455537,48.00,,8.1
WEL_0196214118911,53.50,,8.1
WEL_820650859281,11.50,,8.1
WEL_0196214105669,31.00,,8.1
WEL_0196214105164,150.00,,8.1
WEL_4262360070321,12.50,,8.1
WEL_3070900050938,14.50,,8.1
WEL_3070900050983,14.00,,8.1
WEL_3070900050860,14.00,,8.1
WEL_196214108196,10.50,,8.1
WEL_9789189143418,58.00,,8.1
WEL_4260370821650,139.00,,8.1
WEL_0810058800503,44.50,,8.1
WEL_5060750950159,30.50,,8.1
WEL_0729220058973,70.50,,8.1
WEL_0850079602007,45.50,,8.1
WEL_4571394090329,30.00,,8.1
WEL_4015566018723,27.00,,8.1
WEL_3770002176306,45.00,,8.1
WEL_8054181510508,20.00,,8.1
WEL_0618149322619,41.50,,8.1
WEL_0618149323258,41.50,,8.1
WEL_0618149322640,41.50,,8.1
WEL_4250231740633,9.00,,8.1
WEL_4250231737619,9.00,,8.1
WEL_4250231737572,58.00,,8.1
WEL_4250231715532,58.00,,8.1
WEL_4002051699093,12.00,,8.1
WEL_4002051693732,34.50,,8.1
WEL_4002051691936,29.00,,8.1
WEL_4002051692841,30.00,,8.1
WEL_4002051690908,31.00,,8.1
WEL_4002051682149,31.00,,8.1
WEL_4002051684358,29.00,,8.1
WEL_4250231729140,58.00,,8.1
WEL_4002051694241,69.50,,8.1
WEL_4002051683351,66.00,,8.1
WEL_0700304158604,21.50,,8.1
WEL_0850000576087,59.00,,8.1
WEL_0796520544857,87.50,,8.1
WEL_0796520544840,87.50,,8.1
WEL_0796520544925,73.50,,8.1
WEL_0618149323609,22.50,,8.1
WEL_0793888108875,99.50,,8.1
WEL_4251715421901,29.00,,8.1
WEL_4251715422076,28.00,,8.1
WEL_4251715422212,10.50,,8.1
WEL_0810082831979,45.50,,8.1
WEL_0810082831962,56.50,,8.1
WEL_0810082831948,51.00,,8.1
WEL_0810123697823,87.50,,8.1
WEL_3760372234775,76.00,,8.1
WEL_3760372235253,43.50,,8.1
WEL_0637836623662,27.00,,8.1
WEL_0618149324040,36.50,,8.1
WEL_4260664071259,43.50,,8.1
WEL_0810011727533,78.00,,8.1
WEL_4262394130237,25.00,,8.1
WEL_9783969281598,55.50,,8.1
WEL_0841333117900,96.50,,8.1
WEL_3558380129585,41.00,,8.1
WEL_5904689272718,207.00,,8.1
WEL_5904689272145,59.00,,8.1
WEL_0196214134539,43.50,,8.1
WEL_0810113711119,25.00,,8.1
